Date : 2023-10-02 00:35:37
Directory : c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0
Total : 71 files,  26187 codes, 361 comments, 447 blanks, all 26995 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\customer\components\order                                                                                                         |          4 |        177 |          0 |         18 |        195 |
| src\customer\components\productDetails                                                                                                |          1 |        234 |         41 |         18 |        293 |
| src\data                                                                                                                              |          2 |        818 |          0 |          2 |        820 |
| src\data\brakes                                                                                                                       |          1 |        168 |          0 |          1 |        169 |
| src\data\parts                                                                                                                        |          1 |        650 |          0 |          1 |        651 |
| src\routers                                                                                                                           |          1 |         33 |          0 |          3 |         36 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                              | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\README.md                                                           | Markdown       |        122 |          0 |         13 |        135 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\package-lock.json                                                   | JSON           |     20,397 |          0 |          1 |     20,398 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\package.json                                                        | JSON           |         61 |          0 |          1 |         62 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\public\index.html                                                   | HTML           |         20 |         23 |          1 |         44 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\public\manifest.json                                                | JSON           |         25 |          0 |          1 |         26 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\App.css                                                         | CSS            |         44 |          0 |          9 |         53 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\App.js                                                          | JavaScript     |          9 |          8 |          1 |         18 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\App.test.js                                                     | JavaScript     |          7 |          0 |          2 |          9 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\Config\apiConfig.js                                             | JavaScript     |         10 |          0 |          2 |         12 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Auth\Action.js                                            | JavaScript     |         97 |          0 |         13 |        110 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Auth\ActionType.js                                        | JavaScript     |         10 |          0 |          3 |         13 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Auth\Reducer.js                                           | JavaScript     |         39 |          0 |          3 |         42 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Cart\Action.js                                            | JavaScript     |         91 |         10 |          6 |        107 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Cart\ActionType.js                                        | JavaScript     |         12 |          0 |          4 |         16 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Cart\Reducer.js                                           | JavaScript     |         99 |          7 |          4 |        110 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Order\Action.js                                           | JavaScript     |         80 |          0 |         10 |         90 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Order\ActionType.js                                       | JavaScript     |          9 |          0 |          2 |         11 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Order\Reducer.js                                          | JavaScript     |         61 |          0 |          4 |         65 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Product\Action.js                                         | JavaScript     |         70 |          0 |          6 |         76 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Product\ActionType.js                                     | JavaScript     |          9 |          0 |          3 |         12 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\Product\Reducer.js                                        | JavaScript     |         47 |          1 |          3 |         51 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\State\store.js                                                  | JavaScript     |         13 |          0 |          2 |         15 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\Auth\AuthModal.jsx                                     | JavaScript JSX |         38 |          0 |          4 |         42 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\Auth\LoginForm.jsx                                     | JavaScript JSX |         71 |          1 |          7 |         79 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\Auth\RegisterForm.jsx                                  | JavaScript JSX |         96 |          7 |          8 |        111 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\Auth\SignInForm.jsx                                    | JavaScript JSX |         86 |          0 |          2 |         88 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\add-to-cart\AddToCartBtn.jsx                           | JavaScript JSX |         56 |          0 |          7 |         63 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\cart-qty\CartQtyContainer.jsx                          | JavaScript JSX |         53 |          0 |          9 |         62 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Footer\Footer.jsx                           | JavaScript JSX |         58 |         22 |          5 |         85 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Footer\FooterLinks.js                       | JavaScript     |         30 |          0 |          0 |         30 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Footer\SocialMedia.js                       | JavaScript     |          5 |          0 |          0 |          5 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeCarousel\Carousel.css                   | CSS            |         33 |          0 |          6 |         39 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeCarousel\Carousel\Carousel.js           | JavaScript     |         23 |          0 |          8 |         31 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeCarousel\MainCarousel.jsx               | JavaScript JSX |         44 |          0 |          5 |         49 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeCarousel\MainCarouselData.js            | JavaScript     |         18 |          0 |          0 |         18 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeSectionCard\HomeSectionCard.jsx         | JavaScript JSX |         23 |          0 |          4 |         27 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeSectionCarousel\HomeSectionCarousel.jsx | JavaScript JSX |         79 |          1 |          9 |         89 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Pages\HomePage\HomePage.jsx                 | JavaScript JSX |         42 |          0 |          4 |         46 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\CheckboxComponent.jsx               | JavaScript JSX |         24 |          0 |          1 |         25 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\PriceFilter.jsx                     | JavaScript JSX |        101 |        105 |         22 |        228 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\Product.jsx                         | JavaScript JSX |        519 |         15 |         37 |        571 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\ProductCard.jsx                     | JavaScript JSX |         54 |         32 |         13 |         99 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\Temp.jsx                            | JavaScript JSX |        449 |         11 |         35 |        495 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\Test.jsx                            | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\UniqueFilters.js                    | JavaScript     |         53 |          0 |         10 |         63 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\UniqueFiltersComponent.jsx          | JavaScript JSX |         48 |          1 |          3 |         52 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\example.jsx                         | JavaScript JSX |        103 |          2 |          9 |        114 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\filterData.js                       | JavaScript     |         24 |         39 |          7 |         70 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\address-card\AddressCard.jsx                | JavaScript JSX |         16 |          0 |          3 |         19 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\cart\Cart.jsx                               | JavaScript JSX |        106 |          5 |         12 |        123 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\cart\CartItem.jsx                           | JavaScript JSX |         78 |          0 |          9 |         87 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\checkout\AddressForm.jsx                    | JavaScript JSX |        227 |          0 |          3 |        230 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\checkout\Checkout.jsx                       | JavaScript JSX |         71 |          0 |          9 |         80 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\checkout\DeliveryAddressForm.jsx            | JavaScript JSX |        139 |          0 |          4 |        143 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\checkout\OrderSummary.jsx                   | JavaScript JSX |         99 |          4 |         10 |        113 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\navigation\Navigation.jsx                   | JavaScript JSX |        654 |         17 |         34 |        705 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\order\Order.jsx                             | JavaScript JSX |         45 |          0 |          4 |         49 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\order\OrderCard.jsx                         | JavaScript JSX |         52 |          0 |          5 |         57 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\order\OrderDetails.jsx                      | JavaScript JSX |         55 |          0 |          5 |         60 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\order\OrderTaker.jsx                        | JavaScript JSX |         25 |          0 |          4 |         29 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\productDetails\ProductDetails.jsx           | JavaScript JSX |        234 |         41 |         18 |        293 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\data\brakes\Brakes.js                                           | JavaScript     |        168 |          0 |          1 |        169 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\data\parts\Parts.js                                             | JavaScript     |        650 |          0 |          1 |        651 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\index.css                                                       | CSS            |         15 |          0 |          2 |         17 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\index.js                                                        | JavaScript     |         18 |          3 |          4 |         25 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\logo.svg                                                        | XML            |          1 |          0 |          0 |          1 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\reportWebVitals.js                                              | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\routers\CustomerRouters.jsx                                     | JavaScript JSX |         33 |          0 |          3 |         36 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\setupTests.js                                                   | JavaScript     |          1 |          4 |          1 |          6 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\styles.css                                                      | CSS            |         11 |          0 |          3 |         14 |
| c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\tailwind.config.js                                                  | JavaScript     |         15 |          2 |          0 |         17 |
| Total                                                                                                                                 |                |     26,187 |        361 |        447 |     26,995 |
+---------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
